200 32200
0 0 193
0 1 170
0 2 769
0 3 271
0 4 719
0 5 506
0 7 383
0 8 231
0 9 577
0 10 562
0 11 881
0 12 960
0 13 497
0 14 695
0 15 793
0 16 789
0 17 594
0 18 384
0 19 187
0 20 40
0 21 936
0 22 316
0 23 10
0 24 354
0 25 722
0 31 88
0 32 243
0 34 110
0 35 456
0 36 650
0 38 327
0 39 536
0 40 755
0 41 755
0 42 747
0 44 21
0 45 897
0 46 886
0 47 870
0 48 123
0 49 686
0 50 654
0 51 944
0 53 287
0 54 306
0 55 836
0 56 430
0 57 498
0 59 542
0 60 612
0 62 304
0 63 655
0 64 120
0 65 335
0 66 766
0 67 461
0 68 818
0 69 49
0 70 632
0 71 566
0 72 301
0 73 717
0 74 634
0 75 132
0 77 459
0 78 147
0 79 697
0 80 978
0 82 964
0 83 409
0 84 539
0 85 728
0 86 335
0 87 366
0 88 424
0 89 972
0 90 936
0 91 951
0 93 753
0 94 192
0 95 141
0 96 394
0 97 695
0 99 15
0 100 342
0 101 545
0 103 62
0 104 162
0 105 937
0 106 293
0 107 987
0 108 368
0 109 44
0 111 76
0 112 96
0 113 707
0 114 117
0 115 746
0 117 753
0 118 109
0 119 887
0 121 323
0 122 554
0 123 617
0 124 478
0 125 299
0 126 742
0 127 749
0 129 91
0 130 116
0 131 332
0 132 137
0 133 397
0 135 844
0 136 923
0 137 573
0 139 395
0 141 196
0 142 625
0 144 655
0 145 538
0 146 544
0 147 545
0 148 730
0 149 856
0 151 666
0 152 309
0 153 595
0 154 862
0 156 728
0 157 191
0 159 41
0 161 647
0 162 684
0 163 753
0 164 218
0 165 12
0 167 948
0 170 60
0 171 956
0 172 79
0 174 926
0 175 890
0 176 387
0 177 951
0 180 291
0 181 447
0 182 799
0 184 88
0 185 868
0 187 948
0 188 670
0 189 164
0 190 961
0 191 985
0 192 816
0 194 886
0 195 664
0 196 18
0 197 248
1 0 987
1 1 191
1 2 455
1 3 881
1 4 141
1 6 123
1 7 761
1 8 104
1 10 163
1 12 753
1 13 733
1 14 994
1 15 780
1 16 551
1 17 766
1 18 466
1 19 942
1 21 471
1 22 545
1 23 993
1 24 51
1 25 886
1 26 697
1 27 123
1 28 217
1 29 454
1 30 446
1 31 139
1 32 956
1 33 380
1 34 722
1 36 0
1 38 725
1 39 87
1 40 612
1 41 784
1 43 954
1 45 158
1 46 545
